fname,pathologies,comments
1-COURS-JEAN-BALLARD-13001_2018_03228.pdf,"Façade :
- «La façade présente des fissures verticales entre les baies. J’ai constaté à deux

endroits des boursouflures au niveau des fissures. »

- « J’ai relevé un appui de baie plus particulièrement fissuré. »

- « Fissure horizontale sur toute la longueur du balcon. »

- « La façade comporte au premier étage un balcon réalisé en poutrelles- voûtains.
Les poutrelles métalliques sont rouillées, le balcon n’est pas étanche et suinte
par en-dessous. Les voüûtains sont abîmés notamment des boursouflures
apparaissent. Des morceaux d’enduit présentent un risque de chute. »

«La sous-face du balcon présente des déformations de l’enduit avec un risque
de chute et de la rouille sur la structure qui dénote une faiblesse de la tenue du
balcon. »

Cage d'escalier :
- « Dès le rez de chaussée, nous voyons un étai qui a été positionné dans le hall

de l’immeuble. Cet étai supporte une poutre sous laquelle se profile une
microfissure. À chacun des niveaux se trouve un étaiement. »

- « Une fissure se profile du quatrième étage au rez de chaussée à droite de la
cage d’escalier en regardant la façade.

- « Une fissure se profile à plusieurs niveaux à gauche de la cage d’escalier en
regardant la façade. Cette ancienne fissure repérée par une jauge posée en 1998
au troisième étage, s’est ouverte du double de ce qu’elle a été notée en 2002. »

- « L’étai est positionné sous la poutre (du 2ème étage). Nous pouvons voir, sous
cette poutre une microfissure qui se profile verticalement. »

- «Un étai est présent sur le palier à droite de la porte de droite du 3ème étage. »
- «Une déformation structurelle généralisée à tous les étages au niveau de la
première poutre côté façade Cours Jean Ballard. »

Appartement de droite du 4ème étage:

- «Dans l’emprise de la porte a été posé un étai. Le cadre de la porte s’est
déformé. La porte ne ferme plus en raison de la déformation du plancher. Nous
pouvons voir que la porte initialement n’était pas horizontale. Cette déformation
s’est accentuée. Impossibilité à l’occupant du quatrième étage droite de pénétrer
dans son appartement en raison de la déformation de la structure maçonnée de
l’immeuble»

Appartement de droite au troisième étage :
- (A l’intérieur de l’appartement, se trouvent deux fissures verticales sur le
linteau de cette même porte, partant de la poutre. »

",
1-bis-rue-d-isoard-13001_2018_03506.pdf,"- le plancher des appartements du deuxième étage et du troisième est
anormalement souple, affaissé par endroit et menace de s’effondrer partiellement

- la cage d’escalier présente des fissures sur ses murs, dont certaines, plus
importantes, laissent apparaître des morceaux d’enduit qui menacent de tomber

- le mur de la cage d’escalier est affecté d’ un bombement et d’un décollement du
plancher entre le deuxième et le troisième étage

- dans le séjour de l’appartement du deuxième étage se profile une fissure

verticale sur le mur mitoyen, retrouvée au troisième ge

- le mur séparant une des salle de bains de la cage d’escalier est gonflé côté cage

- la couverture présente un état de délabrement très avancé qui rend la fixation des
tuiles instables, laissant apparaître de nombreuses gouttières qui inondent les
logements situés en dessous et qui ont provoqué des déformations inquiétantes de
l’escalier de bois conduisant aux étages

- la charpente est dans un état douteux ; la possibilité d’un écroulement n’est pas à
exclure, ce qui risquerait de surcharger le plancher des appartements situés sous le
toit, menaçant ainsi tout l’édifice

",
1-rue-de-le-palud-2018_02948-edited-2.pdf,"risque de chute d’enduit de la façade et d’éléments de maçonnerie instables du mur
mitoyen de l’immeuble sis au n°3.
fissuration de la deuxième volée d’escalier et des murs supports de l’escalier.

",
1-rue-edgar-quinet-13015_2019_00098.pdf,"les fissures en façade arrière de l’immeuble ainsi que la pose ancienne d’étais
dans les caves de l’immeuble sis 1, rue Edgar Quinet / 32, rue Felix Zoccola — 13015
MARSEILLE,

",
1-rue-lafayette-13001_2018_03290.pdf,"- Multiples fissures dans la cage d’escalier,

- Murs présentant d’importantes fissures structurelles et des bombements, avec
risque d’effondrement d’une partie de l’escalier, et risque de chutes de pierres,

- Bombement du mur mitoyen avec la parcelle n°15 correspondant au 3, rue
Lafayette,

- Structure d’escalier endommagé, avec risque de chute de matière depuis les
volées d’escalier,

- Desquamation du plâtre, avec présence de chutes de morceaux de plâtre depuis
le mur mitoyen ,et menace de chutes

- Fissures sur le plafond de tous les paliers,

- Importantes fissures sur toutes les volées d’escalier dans les quarts tournants,

- Limons impactés par les fissures,

- Éclatement de la maçonnerie au droit de la cage d’escalier,

- Morceaux de maçonnerie menaçant de tomber,

- Fissures linéaires sur la bordure du plancher d’un des paliers en sous-face,

- Fissures verticales sur les murs des appartements,

- Fissures en sous-face de la volée de l’escalier,

- Multiples fissures autour du lanterneau,

- Trous dans le plancher, laissant apparaître les enfustages en bois .

Façade rue Lafayette :

- décollement de l’enduit sur les cerclages métalliques,
- importante fissure avec le décollement d’un bloc de pierre sur la partie du
couronnement, présentant un risque de chute sur la voie publique

Façade Allées Léon Gambetta :

- corniche dégradée par les végétaux ainsi que fissure linéaire se profilant juste en
dessous avec des risques de chutes de matières

- fissure sur le tableau de l’encadrement d’une des fenêtres au niveau du
scellement d’un volet et un morceau d’appui de baie cassé,

- Enduits dégradés et fissures au droit de la cheminée côté parcelle n°802 C0024,
- Présence de fissures en biais, sur toute la hauteur de la façade à proximité de la
parcelle mitoyenne n°802 CO0015.

- Présence d’éléments laissés à vifs suite aux purges réalisées par les pompiers en
date du 14 novembre 2018 avec risque de descellement et chutes,

",
1-traverse-saint-bazile-13001_20181219-pi_2018-03437.pdf,"- Présence d’une fissure structurelle horizontale sur la façade côté rue Saint-Bazile ;

- Présence d’une fissure structurelle verticale au milieu de la façade côté rue Saint-Bazile ;

- Dégradation de parties maçonnées de la façade côté rue Saïint-Bazile et traverse Saint-Bazile ;

- Dégradation de parties maçonnées sous toiture au niveau de l’angle du bâtiment ;

- Dégradation des marches de l’escalier d’accès aux étages ;

- Fléchissement des marches de l’escalier vers le limon de l’escalier ;

- Fléchissement de certains nez de marches ;

- Importante fissure structurelle sur le plancher bas de l’appartement du R+1 au

niveau de la fenêtre donnant sur la rue Saint-Bazile ;

- Importante fissure structurelle sur le mur de l’appartement côté rue Saint-Bazile ;

- Présence d’un écart, par rapport au mur de façade, du plancher de l’appartement situé au dessus de
la boulangerie du rez de chaussée ;

- Présence d’une importante fissure structurelle au droit du montant de la fenêtre de cet appartement
côté rue Saint-Bazile;

- Fissures structurelles sur les murs des sanitaires de cet appartement ;

- Présence d’un ventre de plusieurs centimètres affectant la sous-face de la partie visible de la
toiture ;

- La partie visible de la toiture fait un ventre de plusieurs centimètres en sous face de celle-ci ;

Les désordres constatés à l’extérieur et à l’intérieur de l’immeuble indiquent que la façade de
celui-ci est en train d’opérer un mouvement vers l’avant entraînant les divers planchers et murs.
Les désordres ainsi constatés indiquent également que la structure de l’immeuble est fragilisée par
le mouvement de la façade et que celle ci perd de sa stabilité.

L’humidité importante constatée sur les parois de cet immeuble entraîne une décohésion et une
désagrégation de la structure de l’immeuble.

Les désordres constatés sur la façade de l’immeuble et dans les appartements visités sont de nature
structurelle et compromettent la stabilité et la solidité de l’immeuble.

La sécurité des usagers est également compromise par ces désordres.

La fragilisation de cet immeuble fait craindre sa ruine qui impacterait et entraînerait un risque pour
les bâtiments situés en face dans la rue saint Bazile.

",
10-RUE-DES-BONS-ENFANTS-13006_2019_00502.pdf,"- Dégradations, fissures structurelles des façades avant et arrière de l’immeuble
avec risque de ruine ;
- Présence de deux lézardes latérales sur les façades avant et arrière indiquant que

l’immeuble du 10 rue des Bons Enfants menace dese-aeriener-temmmetore
mitoyen du 8 rue des Bons Enfants par ruine de façade;

- Dégradations structurelles des volées de marches et de murs de la cage
d’escalier ;

- Dégradations et fissures structurelles des murs, planchers hauts et planchers bas
des appartements ;

- Fissures structurelles des éléments de structure et des murs dans les communs
menaçant la solidité de l'immeuble et pouvant entraîner un risque
d’effondrement ;

- Fissures structurelles et lézardes sur les planchers hauts et les murs du local à
usage de garage ;

- Fissures et dégradations structurelles sur le cabanon et le mur du jardin du 37 rue
Nau ;
- Affaissement du sol du cabanon à l’aplomb du puits souterrain située sous les
deux parcelles sises 37, rue Nau et 10, rue des Bons Enfants;

- Fissures sur le mur mitoyen entre le jardin du 37 et du 39 rue Nau ;

",
10-RUE-GLANDEVES_22-RUE-SAINT-SAENS_2018_03372.pdf,"Façades:
- fissures à 45° sur la façade au-dessus de l’entrée rue Glandevès,

- fissures en plusieurs endroits côté rue Saint Saëns.

Appartement du 2°"" étage :
- fissure traversante

Cage d’escalier :
- la cage d’escalier fissurée partiellement purgée pour sécurisation par les

Pompiers.
- face arrière de la 1ère volée de la cage d’escalier est remplie d'humidité.

",
10-RUE-JOUVEN-13003_2019_00373.pdf,"- Dans la partie du local en rez de chaussée sous la terrasse du R+1, de
nombreuses fissures et épaufrures sont présentes sur la zone construite en béton,
- Une stratification des aciers a fait totalement éclater la dalle béton qui ne
présente

plus aucune stabilité, les aciers d’enrobage sont a nu et des blocs sont
menaçants.
- Instabilité du plancher béton (haut) en zone centrale,

- Risque d’effondrement,

",
10-avenue-david-dellepiane-13007_2019_00097.pdf,"- Le mur situé côté avenue David Dellepiane présente des fissures et des
dégradations qu’il conviendra de purger

- Le mur de soutènement situé côté rue Perlet présente une importante
déformation formant un ventre vers la rue, entraînant un risque de ruine ;

- Le long de ce même mur, de nombreuses fissures ainsi que des dégradations
structurelles en divers endroits qui sont de nature à fragiliser la stabilité et la
solidité de l’ouvrage.

- On constate notamment, une importante fissure structurelle sur la partie
supérieure du mur, en amont de la zone faisant ventre.

- L’enduit est détérioré en de nombreux endroits et une racine provenant d’arbres
situés sur l’arrière a traversé le mur, contribuant encore à le fragiliser.

- La pression qu’exerce l’important volume de terre situé à l’arrière du mur rue
Perlet, conjuguée à l’étalement des racines d’arbres, jouant un rôle certain dans la

déformation de cet ouvrage.
- Il est à noter qu’une canalisation de gaz est fixée le long du mur côté rue Perlet,
sur laquelle la déformation du mur exerce une contrainte pouvant provoquer sa
rupture.

",
